epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,534.504,0.95392,0.67227,1.14942,0.94435,0.92569,0.96995,0.75959,0.81413,0.48101,1.07833,0.0093268,0.0093268,0.0093268
70,542.176,0.95197,0.67466,1.14509,0.94531,0.9357,0.98398,0.76585,0.84726,0.45551,1.07698,0.0093169,0.0093169,0.0093169
71,549.842,0.95233,0.67327,1.1452,0.9454,0.92258,0.97998,0.78316,0.78658,0.46205,1.04429,0.009307,0.009307,0.009307
72,557.491,0.95165,0.66008,1.14528,0.9458,0.87444,0.96874,0.75853,0.81451,0.49493,1.05267,0.0092971,0.0092971,0.0092971
73,565.141,0.94527,0.65748,1.14459,0.958,0.94792,0.97795,0.76963,0.82951,0.43899,1.05339,0.0092872,0.0092872,0.0092872
74,572.788,0.9426,0.66153,1.14106,0.94878,0.94837,0.98423,0.79087,0.77034,0.4357,1.03212,0.0092773,0.0092773,0.0092773
75,580.413,0.94305,0.64939,1.14361,0.95767,0.93013,0.98189,0.78482,0.77531,0.45073,1.04483,0.0092674,0.0092674,0.0092674
76,588.051,0.93718,0.65042,1.14255,0.95004,0.95021,0.98258,0.77909,0.7943,0.44052,1.03644,0.0092575,0.0092575,0.0092575
77,595.664,0.93202,0.64984,1.14209,0.9498,0.94377,0.98139,0.79087,0.74738,0.43197,1.02102,0.0092476,0.0092476,0.0092476
78,603.251,0.93596,0.65654,1.1431,0.92585,0.88361,0.95296,0.74944,0.82908,0.55998,1.05898,0.0092377,0.0092377,0.0092377
79,610.895,0.92648,0.64319,1.13285,0.973,0.96901,0.9908,0.78845,0.79259,0.40168,1.04123,0.0092278,0.0092278,0.0092278
80,618.576,0.92778,0.63019,1.12765,0.95217,0.95379,0.98636,0.73578,0.93726,0.44783,1.11604,0.0092179,0.0092179,0.0092179
81,626.229,0.93163,0.64363,1.13349,0.95069,0.92815,0.96934,0.76602,0.81299,0.46987,1.05273,0.009208,0.009208,0.009208
82,633.861,0.93518,0.64568,1.1301,0.96518,0.94527,0.98008,0.78424,0.80562,0.45236,1.0476,0.0091981,0.0091981,0.0091981
83,641.464,0.92257,0.636,1.13999,0.96279,0.96452,0.98652,0.78036,0.8245,0.4139,1.05212,0.0091882,0.0091882,0.0091882
84,649.093,0.91826,0.63534,1.13129,0.95078,0.96056,0.98298,0.7904,0.80285,0.41863,1.06156,0.0091783,0.0091783,0.0091783
85,656.701,0.90496,0.60319,1.11978,0.94231,0.95579,0.98437,0.79181,0.77809,0.41652,1.0438,0.0091684,0.0091684,0.0091684
86,664.347,0.91784,0.61354,1.12827,0.96405,0.96396,0.98265,0.78332,0.80167,0.39896,1.04325,0.0091585,0.0091585,0.0091585
87,671.956,0.90207,0.60174,1.12708,0.95054,0.95604,0.98507,0.79386,0.76475,0.40283,1.03854,0.0091486,0.0091486,0.0091486
88,679.844,0.91261,0.62111,1.12394,0.97337,0.96549,0.98933,0.79781,0.75455,0.38079,1.03066,0.0091387,0.0091387,0.0091387
89,687.648,0.9118,0.63098,1.12571,0.96134,0.94093,0.97157,0.78072,0.78116,0.41589,1.05149,0.0091288,0.0091288,0.0091288
90,695.312,0.90383,0.62581,1.12269,0.96747,0.96154,0.98573,0.77184,0.85329,0.42364,1.07514,0.0091189,0.0091189,0.0091189
